"Title","Study_ID","Author","Year","Species","Common_Name","SD_system","Species_2","Maximum_lifespan","Class","Y_axis","X_axis","Sex","Individuals","Observations","DF","Slope","SE","T_or_Z_value","P_value","r","Zr","SE_Zr","Longevity","Tissue","Method","Type_of_study","Type_of_population","Parental_care","TL_period_reproduction"
"Accelerated telomere shortening in response to life stress","1","Epel (2004)","2004","Homo sapiens","Human","XY","Homo_sapiens","122.5","Mammalia","TELOMERE LENGTH (T/S RATIO)","chronicity of caregiving (years)","females","36","36","34","NA","NA","NA","NA","-0.4","-0.4236489301936","0.1740776559557","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Birds with high lifetime reproductive success experience increased telomere loss","2","Sudyka (2019)","2019","Cyanistes caeruleus","Eurasian blue tit","ZW","Cyanistes_caeruleus","14.6","Aves","TELOMERE LENGTH (T/S RATIO)","LRS (number of chicks fledged)","both","48","48","42","0.038","0.104","0.365","0.717","0.056231609345815","0.056290990045155","0.14907119849999","short-lived","blood","qPCR","observational","wild","biparental","juvenile"
"Causes and consequences of telomere lengthening in a wild vertebrate population","3","Brown (2021)","2021","Acrocephalus sechellensis","Seychelles warbler","ZW","Acrocephalus_sechellensis","17","Aves","TELOMERE LENGTH (T/S RATIO)","number of offspring ","females","170","170","168","NA","NA","NA","0.7837","-0.02121","-0.021213181397949","0.077382323253414","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Causes and consequences of telomere lengthening in a wild vertebrate population","3","Brown (2021)","2021","Acrocephalus sechellensis","Seychelles warbler","ZW","Acrocephalus_sechellensis","17","Aves","TELOMERE LENGTH (T/S RATIO)","number of offspring ","males","189","189","187","NA","NA","NA","0.2255","-0.08857","-0.088802696304073","0.073323557510677","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Causes and consequences of variation in early-life telomere length in a bird metapopulation","4","Le Pepke (2022a)","2022","Passer domesticus ","House sparrow","ZW","Passer_domesticus ","23","Aves","Annual reproductive success","TELOMERE LENGTH (T/S RATIO)","both","396","709","707","-0.446","0.275","-1.6218181818182","NA","-0.060881604742465","-0.060956993112064","0.050443327230532","long-lived","blood","qPCR","observational","wild","biparental","juvenile"
"Chronological and Biological Age Predict Seasonal Reproductive Timing: An Investigation of Clutch Initiation and Telomeres in Birds of Known Age","5","Bauer (2018)","2018","Junco hyemalis","Dark-eyed junco","ZW","Junco_hyemalis","11.3","Aves","Days after first egg of the season","TELOMERE LENGTH (T/S RATIO)","females","35","35","33","18.97","7.81","2.43","0.021","0.3895866997565","0.41131268724183","0.17677669529664","short-lived","blood","qPCR","observational","wild","biparental","adult"
"Do Hormones, Telomere Lengths, and Oxidative Stress form an Integrated Phenotype? A Case Study in Free-Living Tree Swallows","6","Ouyang (2016)","2016","Tachycineta bicolor","Tree swallow","ZW","Tachycineta_bicolor","12.1","Aves","Nestling mass (residual)","TELOMERE LENGTH (PC1)","females","46","46","44","NA","NA","NA","NA","-0.372","-0.39074232090882","0.1524985703326","short-lived","blood","TRF","observational","wild","biparental","adult"
"Do Hormones, Telomere Lengths, and Oxidative Stress form an Integrated Phenotype? A Case Study in Free-Living Tree Swallows","6","Ouyang (2016)","2016","Tachycineta bicolor","Tree swallow","ZW","Tachycineta_bicolor","12.1","Aves","Nestling mass (residual)","TELOMERE LENGTH (PC1)","males","36","36","34","NA","NA","NA","NA","-0.575","-0.65496069116766","0.1740776559557","short-lived","blood","TRF","observational","wild","biparental","adult"
"Does Reproductive Investment Decrease Telomere Length in Menidia menidia?","7","Gao (2015)","2015","Menidia menidia","Atlantic silverside","TD","Menidia_menidia","2","Actinopterygii","TELOMERE LENGTH (T/S RATIO)","dry gonad weight (muscle) - residuals","females","28","28","26","-11.01","2.44","-4.5122950819672","0.001","-0.66270767380515","-0.79762634508832","0.2","short-lived","non-blood","qPCR","observational","captive","none","adult"
"Does Reproductive Investment Decrease Telomere Length in Menidia menidia?","7","Gao (2015)","2015","Menidia menidia","Atlantic silverside","TD","Menidia_menidia","2","Actinopterygii","TELOMERE LENGTH (T/S RATIO)","dry gonad weight (brain) - residuals","females","28","28","26","-8.67","2.33","-3.7210300429185","0.001","-0.58948187902092","-0.67687165413214","0.2","short-lived","non-blood","qPCR","observational","captive","none","adult"
"Does Reproductive Investment Decrease Telomere Length in Menidia menidia?","7","Gao (2015)","2015","Menidia menidia","Atlantic silverside","TD","Menidia_menidia","2","Actinopterygii","TELOMERE LENGTH (T/S RATIO)","dry gonad weight (muscle) - residuals","males","8","8","6","-13.81","7.58","-1.8218997361478","0.1","-0.59680491647953","-0.68816973073844","0.44721359549996","short-lived","non-blood","qPCR","observational","captive","none","adult"
"Does Reproductive Investment Decrease Telomere Length in Menidia menidia?","7","Gao (2015)","2015","Menidia menidia","Atlantic silverside","TD","Menidia_menidia","2","Actinopterygii","TELOMERE LENGTH (T/S RATIO)","dry gonad weight (brain) - residuals","males","8","8","6","-5.15","6.59","-0.7814871016692","0.46","-0.30394665230269","-0.31386226222574","0.44721359549996","short-lived","non-blood","qPCR","observational","captive","none","adult"
"Early-breeding females experience greater telomere loss","8","Graham (2019)","2019","Junco hyemalis","Dark-eyed junco","ZW","Junco_hyemalis","11.3","Aves","TELOMERE LENGTH (T/S RATIO)","Year 1 nest initiation (first egg date)","females","155","155","153","NA","NA","NA","0.02014","0.1865204","0.18872970981896","0.081110710565381","short-lived","blood","qPCR","observational","wild","biparental","adult"
